State,Quarter,Credit Score,Prosper Score,Lenders Yield,Number of Loans
HI,Q1 2011,696.0,7.2,0.19766,5
HI,Q1 2012,723.529411765,6.58823529412,0.1877,17
HI,Q1 2013,703.75,5.125,0.19291875,16
HI,Q1 2014,694.230769231,6.15384615385,0.146003846154,52
HI,Q2 2010,696.0,8.4,0.1734,5
HI,Q2 2011,700.0,6.42857142857,0.206628571429,7
HI,Q2 2012,700.833333333,6.33333333333,0.2039125,24
HI,Q2 2013,691.578947368,4.73684210526,0.208194736842,38
HI,Q3 2009,720.0,9.0,0.1391,2
HI,Q3 2010,710.0,9.0,0.14575,2
HI,Q3 2011,717.777777778,6.0,0.238133333333,9
HI,Q3 2012,721.333333333,7.4,0.18404,15
HI,Q3 2013,698.235294118,5.44117647059,0.184385294118,34
HI,Q4 2009,630.0,6.25,0.29335,4
HI,Q4 2010,720.0,8.0,0.182875,4
HI,Q4 2011,732.307692308,6.30769230769,0.212930769231,13
HI,Q4 2012,706.666666667,6.16666666667,0.1982,12
HI,Q4 2013,690.256410256,5.67948717949,0.161688461538,78
ID,Q1 2010,715.555555556,7.77777777778,0.182711111111,9
ID,Q1 2011,820.0,7.5,0.1449,2
ID,Q1 2012,696.0,5.66666666667,0.19962,15
ID,Q1 2013,689.333333333,4.33333333333,0.226253333333,15
ID,Q1 2014,678.75,5.609375,0.1614578125,64
ID,Q2 2010,692.857142857,7.5,0.216271428571,14
ID,Q2 2011,702.0,5.1,0.2436,10
ID,Q2 2012,703.333333333,5.11111111111,0.250827777778,18
ID,Q2 2013,716.842105263,5.05263157895,0.180052631579,38
ID,Q3 2009,750.0,7.5,0.155,2
ID,Q3 2010,697.142857143,7.85714285714,0.191785714286,7
ID,Q3 2011,662.857142857,3.0,0.3017,7
ID,Q3 2012,690.37037037,5.62962962963,0.232381481481,27
ID,Q3 2013,690.967741935,4.90322580645,0.183970967742,31
ID,Q4 2009,701.666666667,7.83333333333,0.169633333333,12
ID,Q4 2010,696.0,5.6,0.24585,10
ID,Q4 2011,708.275862069,4.55172413793,0.226762068966,29
ID,Q4 2012,716.0,6.26666666667,0.2031,15
ID,Q4 2013,691.764705882,5.72058823529,0.160232352941,68
IL,Q1 2010,722.941176471,8.20588235294,0.151330882353,68
IL,Q1 2011,715.353535354,7.12121212121,0.198998989899,99
IL,Q1 2012,706.507177033,6.36842105263,0.193261722488,209
IL,Q1 2013,709.101123596,5.2808988764,0.184731460674,178
IL,Q1 2014,691.537001898,6.16318785579,0.144275711575,527
IL,Q2 2010,702.784810127,8.01265822785,0.172820253165,79
IL,Q2 2011,702.38410596,6.72185430464,0.20080794702,151
IL,Q2 2012,698.152610442,6.28112449799,0.20282248996,249
IL,Q2 2013,706.76300578,5.42774566474,0.178908092486,346
IL,Q3 2009,700.444444444,7.95555555556,0.173002222222,45
IL,Q3 2010,712.272727273,7.5,0.196139772727,88
IL,Q3 2011,697.055214724,6.03680981595,0.222530674847,163
IL,Q3 2012,698.661971831,6.27112676056,0.211116901408,284
IL,Q3 2013,701.769547325,5.51234567901,0.17342037037,486
IL,Q4 2009,702.790697674,7.86046511628,0.189774418605,86
IL,Q4 2010,699.220779221,6.57142857143,0.230967532468,77
IL,Q4 2011,707.010309278,6.41237113402,0.194946907216,194
IL,Q4 2012,702.242152466,6.55156950673,0.195952017937,223
IL,Q4 2013,694.281345566,6.24770642202,0.155167737003,654
IN,Q1 2010,695.789473684,7.36842105263,0.192294736842,19
IN,Q1 2011,693.0,6.8,0.2251825,40
IN,Q1 2012,706.857142857,6.39047619048,0.198566666667,105
IN,Q1 2013,710.333333333,5.41666666667,0.180003333333,60
IN,Q1 2014,688.571428571,6.0,0.147366666667,210
IN,Q2 2010,690.0,7.75,0.200070833333,24
IN,Q2 2011,689.0625,5.921875,0.23249375,64
IN,Q2 2012,690.427350427,5.71794871795,0.231366666667,117
IN,Q2 2013,711.176470588,5.0,0.175894117647,136
IN,Q3 2009,695.0,8.125,0.1702375,16
IN,Q3 2010,701.176470588,7.38235294118,0.203644117647,34
IN,Q3 2011,691.698113208,5.81132075472,0.222305660377,53
IN,Q3 2012,699.183673469,6.37755102041,0.201136734694,98
IN,Q3 2013,704.294478528,4.93251533742,0.18204601227,163
IN,Q4 2009,704.285714286,7.96428571429,0.187492857143,28
IN,Q4 2010,707.368421053,6.73684210526,0.232621052632,38
IN,Q4 2011,700.0,6.01234567901,0.222988888889,81
IN,Q4 2012,705.301204819,6.20481927711,0.211769879518,83
IN,Q4 2013,689.358490566,5.81509433962,0.16143509434,265
KS,Q1 2010,706.666666667,8.11111111111,0.155222222222,9
KS,Q1 2011,670.0,5.9375,0.2612875,16
KS,Q1 2012,691.0,5.775,0.2168775,40
KS,Q1 2013,698.75,4.15625,0.208409375,32
KS,Q1 2014,696.910569106,5.88617886179,0.143938211382,123
KS,Q2 2010,705.0,8.0,0.202875,8
KS,Q2 2011,697.333333333,6.13333333333,0.218773333333,30
KS,Q2 2012,694.193548387,5.43548387097,0.233337096774,62
KS,Q2 2013,703.492063492,4.79365079365,0.191673015873,63
KS,Q3 2010,682.0,6.9,0.23149,10
KS,Q3 2011,709.375,6.21875,0.20869375,32
KS,Q3 2012,698.68852459,6.08196721311,0.220827868852,61
KS,Q3 2013,705.660377358,5.16037735849,0.176711320755,106
KS,Q4 2009,700.0,7.75,0.17375,4
KS,Q4 2010,672.941176471,5.94117647059,0.254058823529,17
KS,Q4 2011,699.393939394,5.54545454545,0.225384848485,33
KS,Q4 2012,711.111111111,6.24444444444,0.196446666667,45
KS,Q4 2013,693.243243243,5.7972972973,0.16435472973,148
KY,Q1 2010,702.222222222,7.22222222222,0.194555555556,9
KY,Q1 2011,721.428571429,6.71428571429,0.215178571429,14
KY,Q1 2012,702.173913043,5.97826086957,0.215997826087,46
KY,Q1 2013,695.625,4.53125,0.20799375,32
KY,Q1 2014,697.297297297,5.98198198198,0.146164864865,111
KY,Q2 2010,701.538461538,7.23076923077,0.204346153846,13
KY,Q2 2011,680.0,5.44,0.25378,25
KY,Q2 2012,699.6875,5.96875,0.216684375,64
KY,Q2 2013,707.733333333,4.56,0.191484,75
KY,Q3 2009,653.333333333,7.66666666667,0.260166666667,3
KY,Q3 2010,692.0,6.4,0.23786,10
KY,Q3 2011,678.709677419,5.09677419355,0.264561290323,31
KY,Q3 2012,697.808219178,6.46575342466,0.207504109589,73
KY,Q3 2013,703.75,5.05,0.1758675,80
KY,Q4 2009,700.0,7.88888888889,0.199911111111,9
KY,Q4 2010,701.25,6.4375,0.23035625,16
KY,Q4 2011,697.56097561,5.65853658537,0.2223,41
KY,Q4 2012,701.724137931,6.56896551724,0.191455172414,58
KY,Q4 2013,690.674846626,5.29447852761,0.17107791411,163
LA,Q1 2010,726.0,7.3,0.1893,10
LA,Q1 2011,712.0,7.05,0.20754,20
LA,Q1 2012,704.814814815,5.72222222222,0.211268518519,54
LA,Q1 2013,699.411764706,4.88235294118,0.196779411765,34
LA,Q1 2014,694.700854701,6.02564102564,0.140995726496,117
LA,Q2 2010,667.5,7.625,0.212875,8
LA,Q2 2011,680.0,5.22222222222,0.259016666667,18
LA,Q2 2012,698.275862069,5.44827586207,0.242627586207,58
LA,Q2 2013,703.582089552,5.16417910448,0.184917910448,67
LA,Q3 2009,670.0,9.0,0.1419,2
LA,Q3 2010,697.333333333,5.8,0.2581,15
LA,Q3 2011,703.571428571,6.0,0.219357142857,28
LA,Q3 2012,700.754716981,6.39622641509,0.211486792453,53
LA,Q3 2013,703.87755102,4.94897959184,0.177397959184,98
LA,Q4 2009,685.0,6.75,0.14935,4
LA,Q4 2010,697.142857143,6.57142857143,0.258857142857,14
LA,Q4 2011,696.0,5.53333333333,0.232311111111,45
LA,Q4 2012,703.636363636,6.45454545455,0.202414545455,55
LA,Q4 2013,689.612403101,5.2480620155,0.172870542636,129
MA,Q1 2010,715.0,7.83333333333,0.1658125,24
MA,Q1 2011,715.555555556,7.61111111111,0.179361111111,36
